gate,weight_mod,window,epochs,vector_scope,vector_weight,TN,FP,FN,TP,accuracy,precision,recall,false_positive_rate
53,0.10178918831022843,14,24,11,6.936856333806127,2,0,7,0,0.2222222222222222,0,0.0,0.0
53,0.10178918831022843,14,24,11,6.936856333806127,2,0,7,0,0.2222222222222222,0.0,0.0,0.0
73,2.9946009675653147,7,22,24,15.075976895756718,2,0,5,2,0.4444444444444444,1.0,0.2857142857142857,0.0
53,0.10178918831022843,14,24,11,6.936856333806127,2,0,7,0,0.2222222222222222,0.0,0.0,0.0
73,2.9946009675653147,7,22,24,15.075976895756718,2,0,5,2,0.4444444444444444,1.0,0.2857142857142857,0.0
33,2.002222859693096,2,2,18,0.961706653705507,2,0,7,0,0.2222222222222222,0.0,0.0,0.0
